sample.id,year,latitude,longitude,n.obs,ndvi.gs.avg,ndvi.gs.med,ndvi.gs.q90,ndvi.max,ndvi.max.lwr,ndvi.max.upr,ndvi.max.doy,site
pixel_22 _DY_3,2013,78.1777778,15.9055483,33,0.284717206739471,0.282588739297435,0.306166234168098,0.31723940586032,0.269111770242635,0.36839216680602,244,DY_3
pixel_22 _DY_3,2014,78.1777778,15.9055483,160,0.296050375083641,0.291441934881037,0.33669332423081,0.33669332423081,0.251714500626678,0.407541895215346,241,DY_3
pixel_22 _DY_3,2015,78.1777778,15.9055483,66,0.270041335018231,0.267471215587589,0.347107237493993,0.347107237493993,0.26192463762203,0.370287491325917,240,DY_3
pixel_22 _DY_3,2016,78.1777778,15.9055483,97,0.290068026421451,0.265010302333792,0.362646769233998,0.362646769233998,0.268234384682495,0.430677289340943,237,DY_3
pixel_22 _DY_3,2017,78.1777778,15.9055483,39,0.306641788169506,0.289780170860984,0.358607209253684,0.358607209253684,0.291920199169952,0.421171823455055,235,DY_3
pixel_22 _DY_3,2018,78.1777778,15.9055483,126,0.342762463302517,0.330446175696899,0.396511387972086,0.396511387972086,0.308643134270897,0.47907668838417,232,DY_3
pixel_22 _DY_3,2019,78.1777778,15.9055483,76,0.320715806659618,0.299742286854952,0.369003778807629,0.369003778807629,0.286407528745999,0.46764634572761,228,DY_3
pixel_22 _DY_3,2020,78.1777778,15.9055483,46,0.324347094796092,0.331257682814337,0.396972485668006,0.396972485668006,0.270050732518805,0.452211767322849,229,DY_3
pixel_22 _DY_3,2021,78.1777778,15.9055483,60,0.315662658548535,0.323276403421038,0.367709798332519,0.367709798332519,0.284271674796509,0.406797992029296,221,DY_3
pixel_22 _DY_8,2005,78.1673888,15.9585046,2,0.535251142520862,0.535251142520862,0.535251142520862,0.539918609271256,0.535607412816104,0.544229805726408,206,DY_8
pixel_22 _DY_8,2006,78.1673888,15.9585046,9,0.426107862693148,0.429496561947856,0.443262705451194,0.448261458066538,0.405916308770843,0.497607708282629,204,DY_8
pixel_22 _DY_8,2010,78.1673888,15.9585046,14,0.416075980795957,0.416075980795957,0.445751914122621,0.456458087172454,0.42035075087629,0.470547307853527,203,DY_8
pixel_22 _DY_8,2011,78.1673888,15.9585046,13,0.438680401054582,0.438680401054582,0.438680401054582,0.480227129192953,0.45687386744829,0.511139080376963,207,DY_8
pixel_22 _DY_8,2013,78.1673888,15.9585046,51,0.493749006980842,0.465906400466924,0.566499455463516,0.566499455463516,0.477809102803558,0.613348481838053,207,DY_8
pixel_22 _DY_8,2014,78.1673888,15.9585046,194,0.476060578247829,0.478127922199843,0.542154895942695,0.542154895942695,0.436110601905178,0.624859319174876,207,DY_8
pixel_22 _DY_8,2015,78.1673888,15.9585046,86,0.464326363075207,0.480502620559371,0.517953293235101,0.529913713342415,0.401183097454487,0.58391773364888,206,DY_8
pixel_22 _DY_8,2016,78.1673888,15.9585046,121,0.497294196055487,0.488092553030137,0.546167177660935,0.552390457744106,0.464809812604507,0.60444582249249,207,DY_8
